,base_notes,brand,gender,heart_notes,olfactory_family,perfume_name,top_notes
192,"amberwood,musk",Armani,women,"jasmine,almond blossom",citrus,Terra Di Gioia,"pear,bergamot,mandarin orange blossom"
193,"benzoin,heliotrope,peru balsam,tonka bean,vanilla",Antonio Visconti,women,"bulgarian rose,galbanum,lily of the valley,ylang-ylang",powdery,Temps D'Hiver,"carnation,rose,rosemary"
194,"lily of the valley,amber",Tiziana Terenzi,unisex,"agar wood,lily of the valley",green,Tempel,lily of the valley
195,"ambroxan,fir balsam,cistus",Liquides Imaginaires,unisex,"lily,costus,moss",woody,Tellus - Eau Arborante,"earthy notes,indonesian patchouli,cashmeran"
196,"heliotrope,musk,rose,jasmine,sugar",Lorenzo Villoresi,unisex,"tonka beans,floral notes,jasmine,rose",floral,Teint De Neige,"jasmine,rose,ylang-ylang,powder notes"
197,"cedar,sandalwood,amber,musk,tabacco leaf",Adidas,men,"jasmine,juniper",citrus,Team Force Edition 2022,"orange,grapefruit,aldehydes,pineapple"
198,"sandalwood,bergamot,vetiver,vanilla",Afnan,women,"wood,musk,lily of the valley",floral,Tasneem,"rose,jasmine,peach blossom"
199,"amber,heliotrope,vanilla",Al Haramain,women,"patchouli,cardamom,musk",floral,Tajibni,"tangerine,aldehydes"
200,"coconut,musk,sandalwood",Escada,women,"raspberry,lotus,star apple,waterlily",fruity,Taj Sunset,"alphonso mango,blood orange,nectarine"
201,"cedar,patchouli,sandalwood,vetiver",Armaf,men,"ginger,mint,nutmeg,lavender",citrus,Tag Him,"bergamot,grapefruit,lemon,pink pepper"
202,"labdanum,musk,vanilla,caramel",Armaf,women,"honey suckle,jasmine,orange blossom,rose,iris",citrus,Tag Her,"bergamot,pink pepper,neroli"
203,"vetiver,cloves",Aesop,unisex,basil,citrus,Tacit,"yuzu,citrusy notes"
204,"tobacco,sandalwood,ambergris,leather,patchouli",Creed,men,ginger,citrus,Tabarome Millésime,"bergamot,tangerine"
205,"ambroxan,woody notes,vanilla,patchouli",Armani,women,"freesia,rose",fruity,Sì Nacre Edition,black currant leaves
206,"patchouli,resin",Armani,women,"turkish rose,davana",fruity,Sì Intense,black currant
207,"musk,orcanox",Armani,women,"freesia,rose,patchouli",fruity,Sì,"currant,bergamot,vanilla"
208,"sandalwood,iris,opoponax",Etat Libre d'Orange,unisex,"blood,milk,adrenalin",synthetic,Sécrétions Magnifiques,"marine notes,salt,aldehydes"
209,patchouli,Editions de Parfums Frédéric Malle,unisex,"jasmine,galbanum",green,Synthetic Jungle,"basil,lily of the valley"
210,"cedarwood,sandalwood,musk",Swiss Arabian,unisex,"rose,geranium,ylang ylang",woody,Swiss Musk,"aldehydic notes,peach,lily of the valley"
211,spicy notes,B comme Bougie,unisex,cinnamon,oriental,Sweet Tale,italian orange
212,"benzoin,vanilla,oppoponax",By Kilian,unisex,"orange blossom,myrrh,oliban",oriental,Sweet Redemption,"bergamot,bitter-orange leaf"
213,"clove,coffee,sandalwood,vanilla",Montale,women,"peach,jasmine,coconut,rose",fruity,Sweet Peony,peony
214,"vanilla,patchouli,vetiver",Ex Nihilo,women,"mimosa,iris",floral,Sweet Morphine,"lilac,bergamot"
215,"cashmere wood,vanilla",Ariana Grande,women,"black currant,hibiscus,jasmine,plumeria,honey suckle,whipped cream",fruity,Sweet Like Candy,"bergamot,pear,blackberry"
216,"sandalwood,tonka bean,vanilla",Ricarda M.,women,"peony,hawthorn,white rose",powdery,Sweet Lady!,"bergamot,freesia,violet"
217,"patchouli,cedar,vanilla",Dermacol,women,"orange tree blossom,pineapple,bergamot,peach",fruity,Sweet Jasmine & Patchouli,"jasmine,rose,iris"
218,"musk,cashmere wood",Lolita Lempicka,women,cocoa,fruity,Sweet,"sugar,cherry"
219,"musk,leathery notes",Nishane,unisex,"suede,ginger",leather,Suède Et Safran,"ambrette,saffron"
220,"guaiac wood,oakmoss,patchouli,musk",Armaf,men,"water notes,lavender,sage,green notes",citrus,Surf,"bergamot,grapefruit,lemon"
221,vetiver,Zlatan Ibrahimovic,women,"peony,green tea,violet tea",citrus,Supreme,"green notes,floral notes,citrus fruit,fruity notes,green mandarin,black pepper"
222,"musk,patchouli",Afnan Perfumes,unisex,"oud,sweet notes",oriental,Supremacy In Oud,"saffron,lavender,nutmeg"
223,"patchouli,amber,woody notes",Playboy,men,"lavender,cinnamon,pineapple",woody,Super Playboy For Him,"pepper,apple,bergamot"
224,"white musks,amber",Playboy,women,freesia,floral,Super Playboy For Her,"mandarin,margarita"
225,"hibiscus,coconut,sandalwood",Escada,women,peach,fruity,Sunset Heat,"pineapple,mango,papaya,lemon"
226,"ambrette,iso-e-super,salicylate",Juliette Has A Gun,women,"sandalwood,orris butter,jasmine sambac absolute",gourmand,Sunny Side Up,"amyris,jasmine lactone,vanilla absolute"
227,"musk,drift-wood",Elizabeth Arden,women,"jasmine,osmanthus,cyclamen,rose",citrus,Sunflowers Sunlight Kiss,"tangerine,orange,bergamot,apple leaf"
228,"cedar,musk,vanilla",Elizabeth Arden,women,"violet,jasmine,hydrangea",floral,Sunflowers Summer Bloom,"ivy,pear,water lily"
229,"cedar,vetiver,musk",Elizabeth Arden,women,"rose,peony,sunflower,honey suckle",floral,Sunflowers Morning Garden,"bergamot,lily of the valley,pink pepper,red currant"
230,"sandalwood,vanilla",Jil Sander,women,jasmine,fruity,Sun Sorbet,currant
231,"musk,amber",Jil Sander,women,"osmanthus,heliotrope",floral,Sun Pop Coral,"mandarin orange blossom,freesia"
232,"musk,amber",Franck Olivier,men,"rosemary,mint,black pepper,patchouli,sage",citrus,Sun Java White Men,"black currant,tangerine,lemon,bergamot,orange,grapefruit"
233,"musk,vanilla,tonka bean",Jil Sander,women,"orange blossom,ylang-ylang,rose",aquatic,Sun Bath,"aquatic notes,calone,freesia,pink pepper"
234,"patchouli,sandalwood,vanilla,styrax,amber,musk,tonka beans,benzoin",Jil Sander,women,"carnation,lily of the valley,rose,iris root,heliotrope,ylang-ylang",oriental,Sun,"bergamot,palisandr rosewood,black currant leaves,fruity notes,african orange blossom"
235,"white musks,moss,pale woods",Clean,unisex,"calone,violet leaves",aromatic,Summer Sailing,"cucumber,bergamot,aldehyde notes"
236,sea notes,Mexx,men,"watermelon,geranium",aromatic,Summer Holiday,"grapefruit,green apple,pineapple"
237,"sandalwood,tonka bean,amber",Fresh,women,"freesia,lotus,lychee",floral,Sugar Lychee,"lemon,grapefruit,lime blossom"
238,"amber,patchouli,musk",Salvatore Ferragamo,men,"violet,coriander,artemisia,laurel",spicy,Subtil Pour Homme,"cardamom,lotus,tangerine,ginger"
239,"vetiver,patchouli,tonka bean",Jil Sander,men,"nutmeg,cardamom,lavender",spicy,Strictly Night,"black pepper,pepperwood,bergamot"
240,"vetiver,cedarwood,tonka bean",Jil Sander,men,"nutmeg,cardamom",spicy,Strictly,"white pepper,bay rum"
241,"sweet notes,musk,vanilla,amber,woody notes",V Canto,unisex,"raspberry,peach,floral notes,green notes,cinnamon",fruity,Stricnina,"passionfruit,cassis,lemon,bergamot"
242,amber,Stella McCartney,women,rose,floral,Stella,"mandarin orange,peony,rose"
243,"amber,sandalwood",Montblanc,men,"elemi,nutmeg,ginger",spicy,Starwalker,"bamboo,bergamot,tangerine"
244,"powder notes,amber,white musk",Montale,unisex,"patchouli,rose,jasmine",oriental,Starry Nights,"lemon,bergamot,apple"
245,"musk,vetiver,sandalwood,patchouli",Estiara,unisex,"lavender,rosemary,geranium",citrus,Stanly,"mint,lemon,bergamot,grapefruit,tangerine"
246,"amber,musk,teak wood",Bond No. 9,women,"honey suckle,jasmine,freesia",floral,Spring Fling,"lily of the valley,passion flower,fruity notes"
247,"peach,sandalwood,cedar",Jil Sander,women,"freesia,peony,black currant",fruity,Sport For Women,"apple,tangerine,ginger"
248,"sandalwood,tonka beans",Azzaro,men,sage,aromatic,Sport,lavender
249,"patchouli,white musk",Bvlgari,women,"orris,patchouli",floral,Splendida Patchouli Tentation,"patchouli,white peach"
250,"white musks,exotic wood",Marc Jacobs,unisex,"honeysuckle,red currant",floral,Splash - Cranberry,"mandarin,huckleberry"
251,"sandalwood,white musks,suede note,woody notes",Marc Jacobs,women,"lily-of-the-valley,lavender,cotton flower",floral,Splash - Cotton,"citrus,liquid oxygen accord,clean linen,white peach"
252,"vanilla,soft notes",Marc Jacobs,unisex,pistachio,citrus,Splash - Biscotti,"orange blossom,freesia,bergamot"
253,"sandalwood,cashmeran,white musks",Marc Jacobs,men,"orange blossom,jasmine,freesia",aromatic,Splash - Basil,"basil,lemon grass,tomato leaves"
254,"coriander,cardamom seed,driftwood",Marc Jacobs,unisex,"jasmine,magnolia,rosemary",floral,Splash - Apple,"apple,lemon,grapefruit"
255,"benzoin,cashmeran,tonka bean,amber",Marc Jacobs,women,"lily,cinnamon",oriental,Splash - Amber,"ginger,star anise / chinese anise"
256,"labdanum ciste,atlas cedar",Joop!,men,"cardamom seed,watery note",aromatic,Splash,"coriander,cassowary fruit"
257,"vanilla,amber,patchouli",Diesel,men,"cypress,sage",aromatic,Spirit Of The Brave Intense,"green apple,bergamot"
258,"amber,resins,cedarwood",Swiss Arabian,men,"pink pepper,lavender,geranium,patchouli,vetiver",spicy,Spirit Absolute,"bergamot,pepper"
259,cedarwood,Swiss Arabian,men,"black pepper,geranium",fresh,Spirit,"grapefruit,lime,plum"
260,"roasted almond,tonka bean absolute,woody notes",Viktor & Rolf,men,"black pepper,clove,nutmeg,black chili",synthetic,Spicebomb Night Vision,"green cardamom,green mandarin orange,granny smith apple"
261,"tobacco,benzoin",Viktor & Rolf,men,"cinnamon,red pepper",spicy,Spicebomb Infrared,"red fruits,pink pepper,saffron"
262,"oakmoss,tobacco,amber",Victor & Rolf,men,"lavender,elemi,salt flower",citrus,Spicebomb Fresh,"grapefruit,pink pepper"
263,"tobacco,amber,vanilla,cistus",Viktor & Rolf,men,"cinnamon,cumin,saffron",spicy,Spicebomb Extreme,"grapefruit,pimento,black pepper"
264,"rosemary,sage,tomato leaf",Lorenzo Villoresi,men,"cumin,nutmeg,cinnamon",spicy,Spezie,"cardamom,coriander,laurel"
265,"sandalwood,amber,musk,opoponax,benzoin,civet,vanilla,vetiver,cedar",Estée Lauder,women,"carnation,tuberose,lily,orange blossom,jasmine,heliotrope,cardamom,daffodil",oriental,Spellbound,"apricot,fruity notes,lemon,lily of the valley,rose,brasilian rose wood"
266,"crème brûlée,cedar wood",Kate Spade,women,"pink peony,hawthorn",floral,Sparkle,"cosmopolitan cocktail,black currant,pink pepper"
267,"sandalwood,citrus fruit,amber",Afnan,unisex,"powder,tropical fruit,fresh notes",fruity,Souvenir Desert Rose,"fruity notes,sweet notes,musk"
268,"gaiac wood,patchouli,vetiver,frankincense,cedarwood",Yosh,unisex,"amyris,davana,iris,cumin,juniper",smoky,Sombre Negra,"clove,pink pepper,black pepper,cypress"
269,"amber,woody notes,vanilla,musk,oakmoss",Loewe,men,"pink pepper,cinnamon,tangerine,aldehydes,nutmeg,mint,anise",citrus,Solo,"tangerine–orange aroma,guave,lavender,lemon,bergamot,cashmere wood,rosemary,patchouli,thyme,costus"
270,vanilla,Caudalie,women,"coconut,petit grain essence,jasmine",fruity,Soleil Des Vignes,"bitter orange,mandarin zest"
271,"tonka bean,benzoin,coco de mer",Tom Ford,unisex,"jasmine,tuberose,ylang-ylang",gourmand,Soleil Blanc,bergamot
272,"musk,sandalwood,praline",Lalique,women,"latte,pear granita,jasmine",fruity,Soleil,"tangerine,cardamom,bitter almonds"
273,"patchouli,tonka bean absolute",Le Couvent,unisex,ylang-ylang,gourmand,Solano,davana
274,"amber,sandalwood,musk",Benchaâbane / Les Parfums du Soleil,unisex,"jasmine,orange blossom,vanilla,patchouli",oriental,Soir De Marrakech,lime
275,"oakmoss,honey,musk,patchouli,sandalwood",Sisley,women,"iris,jasmine,lily of the valley,mimosa,peach,rosa centifolia",chypre,Soir De Lune,"bergamot,coriander,mandarin orange,nutmeg,pepper,lemon"
276,"vanilla,musk,cashmere wood",Avon,women,"peony,white lily,lily of the valley",floral,Soft Musk Lily,"marigold,hyacinth,freesia"
277,"musk,sandalwood,vanilla",Avon,women,"red berries,white rose,red currant",oriental,Soft Musk Delice Velvet Berries,"tangerine,red apple,rhubarb"
278,"musk,sandalwood,vanilla,benzoin,vetiver,tonka bean",Avon,women,"ylang-ylang,rose,jasmine,lily of the valley,iris",powdery,Soft Musk,"aldehydes,bergamot,lemon,fruity notes"
279,"ambrette,cedar,civet,musk,oakmoss,tonka bean,vanilla",Zoologist,unisex,"iris,snowdrop,white rose,maté,frankincense,galbanum",woody,Snowy Owl,"snow,lily of the valley,mint,coconut"
280,"vanilla,musk",Armaf,women,"blackberry,apple",aromatic,Skye,"rose,geranium"
281,"vanilla,patchouli,leather",Jil Sander,women,"violet,iris,rose,cedarwood",leather,Simply Elixir,"blood orange,red ginger,red pepper"
282,"amber,benzoin",Just Jack,unisex,"jasmine,tuberose",floral,Simply Blanc,"cardamom,pepper,bergamot,ylang-ylang"
283,"cashmeran,tonka bean",Jil Sander,women,"rice,heliotrope,musk",powdery,Simply,"freesia,solar note,mandarin orange"
284,"vetiver,agar wood,teak wood,tonka beans,lichen",Jacques Bogart,men,"lavender,geranium,rosemary,nutmeg,cardamom,coriander",oriental,Silver Scent Intense,"african orange blossom,bitter orange"
285,"galbanum,petitgrain,musk,sandalwood",Creed,men,"black currant,green tea",aromatic,Silver Mountain Water,"bergamot,tangerine"
286,"suede,musk,vanilla,benzoin,ambergris",Kinetic Perfumes,unisex,"frankincense,jasmine,raspberry",leather,Sillage,"oud,violet,saffron"
287,"cashmere musk,madagascar vanilla,sandalwood",Christian Siriano,women,"jasmine,amberwood,hazelnut",oriental,Silhouette Intimate Silhouette,sesame
288,"patchouli,black vanilla mousse accord",Salvatore Ferragamo,women,"orange blossom,tuberose",aromatic,Signorina Misteriosa  Eau De Parfum,"wild blackberry,neroli"
289,"patchouli,musk,sweet notes",Salvatore Ferragamo,women,"jasmine,peony,rose",fruity,Signorina,"pepper,currant"
290,"ambergris,castoreum,vanilla,patchouli,oud",Coach,women,"jasmine,rose,peony,raspberry",oriental,Signature Rose D’Or,"orange blossom,geranium,coriander,saffron"
291,"sandalwood,vanilla orchid,amberwood,patchouli",Replay,women,"gardenia,rose,ylang-ylang,jasmine sambac",floral,Signature Lovers For Woman,"raspberry,tangerine,pink pepper,bergamot"
292,"tonka beans,sandalwood,amber",Oriflame,women,"tuberose,freesia,iris root,lavender",oriental,Signature For Her,"rhubarb,pink pepper,pink grapefruit"
293,white musk,Montblanc,women,vanilla,oriental,Signature,clementine
294,"woody notes,white musk",Mancera,unisex,"ylang-ylang,violet,rose,jasmine",citrus,Sicily,"bergamot,grapefruit,tangerine,pineapple,peach,apple"
295,"vanilla,tonka beans,cotton candy,praline",SANTINI Cosmetic,women,"iris,patchouli,white flowers",floral,Sia,"magnolia,almonds"
296,"vanilla,musk",Swiss Arabian,men,"leather,cedarwood",leather,Shumoukh Al Ghutra,"green notes,apple,violet"
297,"amber,musk,vanilla",Xerjoff,men,"guaiac wood,rum,rose,sandalwood",aromatic,Shooting Stars Uden,"lemon,citrus fruit"
298,"cedar,amber,patchouli,tobacco flower",Xerjoff,unisex,"jasmine,mimosa,rose,white flowers",oriental,Shooting Stars Oesel,"lemon,petitgrain,african orange blossom"
299,"musk,opoponax,patchouli,tonka bean,vanilla,vetiver",XerJoff,women,"iris,spikenard,orange blossom,petitgrain,pink pepper,rose,ylang-ylang,cinnamon",chypre,Shooting Stars - Esquel,"bergamot,lavender,myrtle,lemon"
300,white musk,XerJoff,unisex,orris butter,gourmand,Shooting Stars - Apollonia,white blossoms
301,bourbon vanilla,XerJoff,unisex,"bourbon vanilla,cocoa",gourmand,Shooting Stars - Allende,"bourbon vanilla,magnolia"
302,"musk,agar wood,sandalwood,amber",Kelsey Berwin,women,"woody notes,orange,star anise,vanilla",green,Sheikh Al Shyookh,"citrus fruit,bergamot"
303,"musk,sandalwood,vanilla",Calvin Klein,women,"jasmine,lily,peony",fruity,Sheer Beauty,"bergamot,red berries,bellini"
304,"patchouli,musk,amber",Swiss Arabian,unisex,lily of the valley,citrus,Shawq,"bergamot,pineapple,black currant"
305,"tolu balm,patchouli,vanilla",GUERLAIN,women,"iris,jasmine,rose",oriental,Shalimar Philtre De Parfum,"lavender,lemon,bergamot"
306,"vetiver,musk,guaiac wood,papyrus",Parfums De Marly,men,"cedar,agar wood",oriental,Shagya,"bergamot,lime,pink pepper"
307,"musk,sandalwood,leather,oud,amber,vanilla",Swiss Arabian,unisex,"coriander,cumin,rose,jasmine,patchouli,oud",oriental,Shaghaf Oud Aswad,"saffron,thyme,rose"
308,"sandal,oud,patchouli,leather",Swiss Arabian,women,"amber,frankincense (luban)",spicy,Shaghaf Oud Abyad,"pepper,oregano,bergamot"
309,"oud,vanilla",Swiss Arabian,men,"rose,praline,oud",oriental,Shaghaf Oud,"saffron,oud"
310,"cedar,musk",Swiss Arabian,women,"praline,apple,peony",fruity,Shaghaf,"lemon,lime"
311,vanilla,Yves Rocher,women,"jasmine,orange blossom",oriental,Shafali Fleur Rare,citrus fruits
312,"cashmere wood,musk,vanilla",Escada,women,"lily,lily of the valley,red peony,violet",fruity,Sexy Graffiti,"blueberry,strawberry,raspberry"
313,"cistus,patchouli,white musk,sandalwood",Boucheron,women,"turkish rose,jasmine sambac,hibiscus",floral,Serpent Bohème,"tangerine,black currant"
314,"vanilla,sandalwood,patchouli",Mercedes-Benz,men,"orange blossom,guaiac wood,cedar",woody,Select Night,"lavender,cardamom,bergamot"
315,"ambroxan,musk,patchouli",Mercedes-Benz,men,"mint,apple",chypre,Select,"bergamot,black currant"
316,"vetiver,cedar,birch",Heeley,unisex,"iodine,algae",aquatic,Sel Marin,"lemon,italian bergamot"
317,"sea salt,vetiver",The Different Company,unisex,"vetiver,ylang-ylang",aromatic,Sel De Vetiver,"bergamot,grapefruit,cardamom"
318,"patchouli,oud,vanilla",Swiss Arabian,women,"rose,oud",floral,Sehr Al Sheila,damascus rose
319,"vetiver,white musks",Chloé,women,"jasmine,apple blossom",floral,See By Chloé Eau Fraîche,hyacinth
320,"vanilla,sandalwood",Chloé,women,"jasmine,apple",floral,See By Chloé,"bergamot,tart notes"
321,white musks,Chloé,women,"white gardenia,orange blossom macaroon",floral,See By Chloe - Si Belle,"birch leaf,neroli"
322,"frankincense,vanilla",Guess,women,"jasmine,orange tree blossom,orris",fruity,Seductive,"bergamot,black currant,pear"
323,"guaiac wood,amber",Armaf,men,"spices,geranium,bay leaf",spicy,Seduction Man,"sea notes,grapefruit"
324,"ambroxan,cedar,patchouli,sandalwood,vetiver,cashmeran",Parfums De Marly,unisex,"geranium,lavender,rosemary,olibanum",aromatic,Sedley,"bergamot,lemon,grapefruit,mint,yellow mandarin"
325,"bourbon vanilla,australian sandalwood,patchouli",Yves Rocher,women,"myrrh,frankincense,opoponax",oriental,Secrets D'Essences - Voile D'Ambre,"italian green mandarin orange,cardamom"
326,"jasmine sambac absolute,mimosa absolute",Yves Rocher,women,"jasminum grandiflorum absolute,orange blossom absolute",floral,Secrets D'Essences - Tendre Jasmin,"jasminum grandiflorum,mandarin orange,orange,lemon"
327,"amber,vanilla,musk,sandalwood,amberwood,coumarin",Sean John,men,"nutmeg,violet,cardamom,angelica",oriental,Sean John,"bergamot,tangerine,mint,black pepper"
328,vanilla musk,ASAMA,unisex,woody notes,woody,Sea Musk,botanical musk
329,"cedarwood,musk,amber,oud",MiN New York,unisex,"frankincense,benzoin,cypress,geranium",smoky,Scent Stories Vol.1/Ch.09 - Dahab,"galbanum,cinnamon,saffron,lime,nutmeg"
330,"tonka bean,barley,fig",Jo Malone,unisex,"turkish poppy,iris,heliotrope",gourmand,Scarlet Poppy,ambrette
331,neroli,4711,men,"rosemary,lavander",citrus,Scannon Eau De Cologne,"bergamot,lemon,orange"
332,"ambergris,cardamom,cashmeran,cedarwood,clove,labdanum,mossy notes,musk,nutmeg,patchouli,rhubarb,sandalwood,tonka bean,vetiver",Roja Parfums,men,"grasse jasmine,lily of the valley,may rose,violet",chypre,Scandal Pour Homme,"basil,bergamot,lavender,lemon,petitgrain,spearmint,tarragon"
333,patchouli,Jean Paul Gaultier,women,honey,floral,Scandal,gardenia
334,"musk,tobacco absolute",Sana Jardin,unisex,jasmine absolute,floral,Savage Jasmine,clove
335,vanilla absolute,DIOR,men,"virginia cedar,sandalwood",oriental,Sauvage,"calabrian bergamot,tangerine"
